time,gFx,gFy,gFz,TgF
0.008580,-0.2674,0.4711,0.5724,0.79
0.020658,-0.1951,0.4579,0.6552,0.82
0.020826,-0.1951,0.4579,0.6552,0.82
0.031523,-0.1369,0.4310,0.7801,0.90
0.041361,-0.0793,0.4229,0.8749,0.97
0.052568,-0.0446,0.4053,0.9518,1.04
0.063772,-0.0609,0.3924,0.9860,1.06
0.074978,-0.0954,0.3565,0.9418,1.01
0.086058,-0.1687,0.3213,0.8744,0.95
0.097018,-0.1943,0.3132,0.7811,0.86
0.108113,-0.2051,0.3262,0.7053,0.80
0.119348,-0.2322,0.3394,0.6689,0.79
0.130391,-0.2490,0.3494,0.6479,0.78
0.130519,-0.2490,0.3494,0.6479,0.78
0.141523,-0.2586,0.3352,0.6657,0.79
0.153365,-0.2740,0.2815,0.7532,0.85
0.163765,-0.2943,0.2109,0.8099,0.89
0.174941,-0.2877,0.1984,0.8402,0.91
0.186122,-0.3026,0.2043,0.8671,0.94
0.197177,-0.3446,0.2065,0.9272,1.01
0.208270,-0.3526,0.1803,0.8763,0.96
0.219490,-0.3187,0.1442,0.8617,0.93
0.230533,-0.2661,0.1706,0.9738,1.02
0.241649,-0.1562,0.1259,0.9594,0.98
0.241767,-0.1562,0.1259,0.9594,0.98
0.252855,-0.1376,0.0978,0.9330,0.95
0.263921,-0.1164,0.0956,0.9325,0.94
0.275168,-0.1306,0.1173,0.8990,0.92
0.287043,-0.1973,0.1562,1.0349,1.07
0.297303,-0.1489,0.1796,1.0200,1.05
0.308400,-0.2454,0.1027,1.1260,1.16
0.319624,-0.1850,0.0606,1.1497,1.17
0.330674,-0.1545,0.0797,1.0952,1.11
0.341811,-0.1359,0.1329,1.0478,1.06
0.353029,-0.1687,0.1584,1.0207,1.05
0.353148,-0.1687,0.1584,1.0207,1.05
0.364017,-0.1540,0.1576,1.0056,1.03
0.375203,-0.1337,0.1532,0.9308,0.95
0.386538,-0.0937,0.1828,0.9303,0.95
0.397564,-0.1230,0.2067,0.9052,0.94
0.408546,-0.1311,0.2275,0.9648,1.00
0.419726,-0.1401,0.2221,0.9958,1.03
0.431642,-0.1760,0.2409,1.0056,1.05
0.441942,-0.1789,0.2192,0.9347,0.98
0.453150,-0.1919,0.1679,0.9233,0.96
0.464223,-0.1362,0.1415,0.9372,0.96
0.464353,-0.1362,0.1415,0.9372,0.96
0.475428,-0.1232,0.1068,0.9464,0.96
0.486829,-0.1828,0.1036,0.9328,0.96
0.497701,-0.1650,0.1034,0.9086,0.93
0.508719,-0.2554,0.0350,0.9230,0.96
0.519955,-0.3502,0.0367,0.9535,1.02
0.533721,-0.2943,0.0533,1.0967,1.14
0.544553,-0.1386,0.0765,1.2054,1.22
0.555514,-0.1145,-0.0034,1.2638,1.27
0.567183,-0.1350,-0.0368,1.3009,1.31
0.567788,-0.1521,-0.0246,1.3002,1.31
0.581402,-0.2371,0.0416,1.2430,1.27
0.590117,-0.2706,0.0389,1.1656,1.20
0.600171,-0.2725,0.0765,1.1162,1.15
0.611282,-0.3006,0.1000,1.1575,1.20
0.623662,-0.2693,0.1183,1.3251,1.36
0.633803,-0.1958,0.1049,1.4832,1.50
0.645780,-0.1074,0.1010,1.5481,1.56
0.656268,-0.1457,0.1246,1.4565,1.47
0.667557,-0.2183,0.1383,1.3972,1.42
0.677060,-0.3004,0.1501,1.3468,1.39
0.690968,-0.3619,0.1948,1.3244,1.39
0.691360,-0.3619,0.1948,1.3244,1.39
0.711554,-0.1606,0.1955,1.4006,1.42
0.711968,-0.1606,0.1955,1.4006,1.42
0.721970,-0.1074,0.2024,1.3913,1.41
0.731936,-0.1135,0.2295,1.2684,1.29
0.743536,-0.1284,0.2417,1.1419,1.17
