ID,time,gFx,gFy,gFz,TgF
0,0.00858,-0.2674,0.4711,0.5724,0.79
1,0.02066,-0.1951,0.4579,0.6552,0.82
2,0.02083,-0.1951,0.4579,0.6552,0.82
3,0.03152,-0.1369,0.431,0.7801,0.9
4,0.04136,-0.0793,0.4229,0.8749,0.97
5,0.05257,-0.0446,0.4053,0.9518,1.04
6,0.06377,-0.0609,0.3924,0.986,1.06
7,0.07498,-0.0954,0.3565,0.9418,1.01
8,0.08606,-0.1687,0.3213,0.8744,0.95
9,0.09702,-0.1943,0.3132,0.7811,0.86
10,0.10811,-0.2051,0.3262,0.7053,0.8
11,0.11935,-0.2322,0.3394,0.6689,0.79
12,0.13039,-0.249,0.3494,0.6479,0.78
13,0.13052,-0.249,0.3494,0.6479,0.78
14,0.14152,-0.2586,0.3352,0.6657,0.79
15,0.15336,-0.274,0.2815,0.7532,0.85
16,0.16376,-0.2943,0.2109,0.8099,0.89
17,0.17494,-0.2877,0.1984,0.8402,0.91
18,0.18612,-0.3026,0.2043,0.8671,0.94
19,0.19718,-0.3446,0.2065,0.9272,1.01
20,0.20827,-0.3526,0.1803,0.8763,0.96
21,0.21949,-0.3187,0.1442,0.8617,0.93
22,0.23053,-0.2661,0.1706,0.9738,1.02
23,0.24165,-0.1562,0.1259,0.9594,0.98
24,0.24177,-0.1562,0.1259,0.9594,0.98
25,0.25286,-0.1376,0.0978,0.933,0.95
26,0.26392,-0.1164,0.0956,0.9325,0.94
27,0.27517,-0.1306,0.1173,0.899,0.92
28,0.28704,-0.1973,0.1562,1.0349,1.07
29,0.2973,-0.1489,0.1796,1.02,1.05
30,0.3084,-0.2454,0.1027,1.126,1.16
31,0.31962,-0.185,0.0606,1.1497,1.17
32,0.33067,-0.1545,0.0797,1.0952,1.11
33,0.34181,-0.1359,0.1329,1.0478,1.06
34,0.35303,-0.1687,0.1584,1.0207,1.05
35,0.35315,-0.1687,0.1584,1.0207,1.05
36,0.36402,-0.154,0.1576,1.0056,1.03
37,0.3752,-0.1337,0.1532,0.9308,0.95
38,0.38654,-0.0937,0.1828,0.9303,0.95
39,0.39756,-0.123,0.2067,0.9052,0.94
40,0.40855,-0.1311,0.2275,0.9648,1.0
41,0.41973,-0.1401,0.2221,0.9958,1.03
42,0.43164,-0.176,0.2409,1.0056,1.05
43,0.44194,-0.1789,0.2192,0.9347,0.98
44,0.45315,-0.1919,0.1679,0.9233,0.96
45,0.46422,-0.1362,0.1415,0.9372,0.96
46,0.46435,-0.1362,0.1415,0.9372,0.96
47,0.47543,-0.1232,0.1068,0.9464,0.96
48,0.48683,-0.1828,0.1036,0.9328,0.96
49,0.4977,-0.165,0.1034,0.9086,0.93
50,0.50872,-0.2554,0.035,0.923,0.96
51,0.51995,-0.3502,0.0367,0.9535,1.02
52,0.53372,-0.2943,0.0533,1.0967,1.14
53,0.54455,-0.1386,0.0765,1.2054,1.22
54,0.55551,-0.1145,-0.0034,1.2638,1.27
55,0.56718,-0.135,-0.0368,1.3009,1.31
56,0.56779,-0.1521,-0.0246,1.3002,1.31
57,0.5814,-0.2371,0.0416,1.243,1.27
58,0.59012,-0.2706,0.0389,1.1656,1.2
59,0.60017,-0.2725,0.0765,1.1162,1.15
60,0.61128,-0.3006,0.1,1.1575,1.2
61,0.62366,-0.2693,0.1183,1.3251,1.36
62,0.6338,-0.1958,0.1049,1.4832,1.5
63,0.64578,-0.1074,0.101,1.5481,1.56
64,0.65627,-0.1457,0.1246,1.4565,1.47
65,0.66756,-0.2183,0.1383,1.3972,1.42
66,0.67706,-0.3004,0.1501,1.3468,1.39
67,0.69097,-0.3619,0.1948,1.3244,1.39
68,0.69136,-0.3619,0.1948,1.3244,1.39
69,0.71155,-0.1606,0.1955,1.4006,1.42
70,0.71197,-0.1606,0.1955,1.4006,1.42
