ID,time,gFx,gFy,gFz,TgF,TS
0,0.00179,-0.3123,0.3785,0.579,0.76,2022-04-20 00:00:00.001790
1,0.00196,-0.3123,0.3785,0.579,0.76,2022-04-20 00:00:00.001960
2,0.00996,-0.2654,0.3756,0.6433,0.79,2022-04-20 00:00:00.009960
3,0.01997,-0.2021,0.3611,0.7366,0.84,2022-04-20 00:00:00.019970
4,0.03039,-0.132,0.3509,0.7935,0.88,2022-04-20 00:00:00.030390
5,0.04153,-0.1201,0.3062,0.814,0.88,2022-04-20 00:00:00.041530
6,0.05289,-0.1597,0.3057,0.8214,0.89,2022-04-20 00:00:00.052890
7,0.0639,-0.2234,0.3022,0.826,0.91,2022-04-20 00:00:00.063900
8,0.07562,-0.2657,0.2935,0.8099,0.9,2022-04-20 00:00:00.075620
9,0.08619,-0.2701,0.2673,0.8016,0.89,2022-04-20 00:00:00.086190
10,0.09719,-0.2733,0.2431,0.8143,0.89,2022-04-20 00:00:00.097190
11,0.1084,-0.2833,0.2204,0.8433,0.92,2022-04-20 00:00:00.108400
12,0.11998,-0.2842,0.2121,0.8333,0.91,2022-04-20 00:00:00.119980
13,0.12014,-0.2842,0.2121,0.8333,0.91,2022-04-20 00:00:00.120140
14,0.13063,-0.2825,0.208,0.8143,0.89,2022-04-20 00:00:00.130630
15,0.14172,-0.2725,0.1955,0.8099,0.88,2022-04-20 00:00:00.141720
16,0.15298,-0.2564,0.1684,0.8214,0.88,2022-04-20 00:00:00.152980
17,0.16394,-0.2366,0.132,0.8636,0.91,2022-04-20 00:00:00.163940
18,0.17506,-0.1767,0.0775,0.9113,0.93,2022-04-20 00:00:00.175060
19,0.18625,-0.1396,0.0106,0.9692,0.98,2022-04-20 00:00:00.186250
20,0.19732,-0.125,-0.0371,0.9936,1.0,2022-04-20 00:00:00.197320
21,0.20918,-0.1763,-0.0136,1.1079,1.12,2022-04-20 00:00:00.209180
22,0.21972,-0.229,-0.009,1.1143,1.14,2022-04-20 00:00:00.219720
23,0.23078,-0.211,-0.0229,1.1353,1.15,2022-04-20 00:00:00.230780
24,0.23097,-0.1985,-0.0288,1.1448,1.16,2022-04-20 00:00:00.230970
25,0.24185,-0.2168,0.0367,1.3276,1.35,2022-04-20 00:00:00.241850
26,0.2531,-0.1245,0.0418,1.2039,1.21,2022-04-20 00:00:00.253100
27,0.26409,-0.0192,-0.0881,1.1267,1.13,2022-04-20 00:00:00.264090
28,0.27527,0.1804,-0.0835,1.2162,1.23,2022-04-20 00:00:00.275270
29,0.2864,0.2178,-0.0603,1.1793,1.2,2022-04-20 00:00:00.286400
30,0.2974,0.0448,-0.1133,1.0786,1.09,2022-04-20 00:00:00.297400
31,0.30856,-0.1765,-0.0803,1.0339,1.05,2022-04-20 00:00:00.308560
32,0.31979,-0.121,-0.1035,1.0759,1.09,2022-04-20 00:00:00.319790
33,0.33082,0.0536,-0.1196,1.1094,1.12,2022-04-20 00:00:00.330820
34,0.342,0.1184,-0.1915,1.0486,1.07,2022-04-20 00:00:00.342000
35,0.34212,0.1184,-0.1915,1.0486,1.07,2022-04-20 00:00:00.342120
36,0.3538,0.2549,-0.3471,0.7515,0.87,2022-04-20 00:00:00.353800
37,0.36419,0.2398,-0.2621,0.5224,0.63,2022-04-20 00:00:00.364190
38,0.37534,0.0734,0.0172,0.3171,0.33,2022-04-20 00:00:00.375340
39,0.38642,-0.0236,0.0711,0.4701,0.48,2022-04-20 00:00:00.386420
40,0.39755,0.0522,0.0005,0.6958,0.7,2022-04-20 00:00:00.397550
41,0.40882,0.2244,-0.072,0.9257,0.96,2022-04-20 00:00:00.408820
42,0.4199,0.2852,-0.0537,1.0871,1.13,2022-04-20 00:00:00.419900
43,0.43093,0.2923,-0.0231,1.1057,1.14,2022-04-20 00:00:00.430930
44,0.44216,0.3087,0.0079,1.0469,1.09,2022-04-20 00:00:00.442160
45,0.44228,0.3087,0.0079,1.0469,1.09,2022-04-20 00:00:00.442280
46,0.4532,0.3277,0.0321,1.0117,1.06,2022-04-20 00:00:00.453200
47,0.46434,0.3526,0.0519,1.0461,1.11,2022-04-20 00:00:00.464340
48,0.47612,0.4137,0.0641,1.1829,1.25,2022-04-20 00:00:00.476120
49,0.48656,0.3942,0.0487,1.2442,1.31,2022-04-20 00:00:00.486560
50,0.4977,0.3355,0.0142,1.3014,1.34,2022-04-20 00:00:00.497700
51,0.50889,0.3023,0.011,1.361,1.39,2022-04-20 00:00:00.508890
52,0.52005,0.3888,0.1154,1.3967,1.45,2022-04-20 00:00:00.520050
53,0.53111,0.3922,0.1452,1.3295,1.39,2022-04-20 00:00:00.531110
54,0.54233,0.4372,0.1825,1.2423,1.33,2022-04-20 00:00:00.542330
55,0.55334,0.475,0.1752,1.2494,1.35,2022-04-20 00:00:00.553340
56,0.55347,0.475,0.1752,1.2494,1.35,2022-04-20 00:00:00.553470
57,0.56448,0.4367,0.141,1.2687,1.35,2022-04-20 00:00:00.564480
58,0.57562,0.5061,0.1899,1.2555,1.37,2022-04-20 00:00:00.575620
59,0.58673,0.5754,0.129,1.3195,1.45,2022-04-20 00:00:00.586730
60,0.59789,0.6209,0.0748,1.1788,1.33,2022-04-20 00:00:00.597890
61,0.60904,0.5774,0.1554,1.145,1.29,2022-04-20 00:00:00.609040
62,0.62081,0.3346,0.1943,1.1644,1.23,2022-04-20 00:00:00.620810
63,0.63128,0.0646,0.1781,1.2049,1.22,2022-04-20 00:00:00.631280
64,0.64571,-0.1347,0.1713,1.4287,1.45,2022-04-20 00:00:00.645710
65,0.64631,-0.1345,0.1674,1.446,1.46,2022-04-20 00:00:00.646310
66,0.65547,-0.1052,0.1354,1.4387,1.45,2022-04-20 00:00:00.655470
67,0.66661,0.0089,0.0792,1.3178,1.32,2022-04-20 00:00:00.666610
68,0.67818,0.057,-0.0183,1.1079,1.11,2022-04-20 00:00:00.678180
69,0.6904,0.1721,0.1246,1.0569,1.08,2022-04-20 00:00:00.690400
70,0.70222,0.2273,0.1598,1.0974,1.13,2022-04-20 00:00:00.702220
71,0.71201,0.285,0.1474,1.1771,1.22,2022-04-20 00:00:00.712010
72,0.72244,0.2955,0.1615,1.3031,1.35,2022-04-20 00:00:00.722440
73,0.7353,0.2337,0.194,1.4213,1.45,2022-04-20 00:00:00.735300
74,0.74559,0.211,0.2085,1.3432,1.38,2022-04-20 00:00:00.745590
75,0.75608,0.1988,0.2077,1.1942,1.23,2022-04-20 00:00:00.756080
76,0.76979,0.1789,0.2588,0.9462,1.0,2022-04-20 00:00:00.769790
77,0.77042,0.185,0.2715,0.9159,0.97,2022-04-20 00:00:00.770420
78,0.77929,0.2007,0.2893,0.8632,0.93,2022-04-20 00:00:00.779290
79,0.78957,0.2,0.2888,0.8771,0.94,2022-04-20 00:00:00.789570
80,0.80165,0.2178,0.3225,0.9071,0.99,2022-04-20 00:00:00.801650
81,0.81234,0.2632,0.3501,0.9225,1.02,2022-04-20 00:00:00.812340
82,0.82366,0.3182,0.3682,0.8715,1.0,2022-04-20 00:00:00.823660
83,0.83455,0.3052,0.3966,0.8033,0.95,2022-04-20 00:00:00.834550
84,0.84525,0.2974,0.3975,0.7332,0.89,2022-04-20 00:00:00.845250
85,0.8561,0.2154,0.3861,0.7273,0.85,2022-04-20 00:00:00.856100
86,0.86749,0.0536,0.4261,0.75,0.86,2022-04-20 00:00:00.867490
87,0.87828,-0.0216,0.444,0.7615,0.88,2022-04-20 00:00:00.878280
88,0.8897,0.0199,0.4317,0.7703,0.88,2022-04-20 00:00:00.889700
89,0.90526,0.1298,0.4733,0.817,0.95,2022-04-20 00:00:00.905260
90,0.90574,0.1298,0.4733,0.817,0.95,2022-04-20 00:00:00.905740
91,0.91535,0.2173,0.4835,0.8089,0.97,2022-04-20 00:00:00.915350
92,0.92668,0.2591,0.5236,0.6396,0.87,2022-04-20 00:00:00.926680
93,0.93759,0.2689,0.5549,0.4156,0.74,2022-04-20 00:00:00.937590
