time,gFx,gFy,gFz,TgF
0.001792,-0.3123,0.3785,0.579,0.76
0.001955,-0.3123,0.3785,0.579,0.76
0.009959,-0.2654,0.3756,0.6433,0.79
0.01997,-0.2021,0.3611,0.7366,0.84
0.030388,-0.132,0.3509,0.7935,0.88
0.041528,-0.1201,0.3062,0.814,0.88
0.052892,-0.1597,0.3057,0.8214,0.89
0.063902,-0.2234,0.3022,0.826,0.91
0.075618,-0.2657,0.2935,0.8099,0.9
0.086189,-0.2701,0.2673,0.8016,0.89
0.097187,-0.2733,0.2431,0.8143,0.89
0.108401,-0.2833,0.2204,0.8433,0.92
0.119979,-0.2842,0.2121,0.8333,0.91
0.120144,-0.2842,0.2121,0.8333,0.91
0.13063,-0.2825,0.208,0.8143,0.89
0.141723,-0.2725,0.1955,0.8099,0.88
0.152979,-0.2564,0.1684,0.8214,0.88
0.163937,-0.2366,0.132,0.8636,0.91
0.175056,-0.1767,0.0775,0.9113,0.93
0.186247,-0.1396,0.0106,0.9692,0.98
0.197322,-0.125,-0.0371,0.9936,1
0.209177,-0.1763,-0.0136,1.1079,1.12
0.219715,-0.229,-0.009,1.1143,1.14
0.230779,-0.211,-0.0229,1.1353,1.15
0.230968,-0.1985,-0.0288,1.1448,1.16
0.241853,-0.2168,0.0367,1.3276,1.35
0.2531,-0.1245,0.0418,1.2039,1.21
0.264093,-0.0192,-0.0881,1.1267,1.13
0.275269,0.1804,-0.0835,1.2162,1.23
0.286398,0.2178,-0.0603,1.1793,1.2
0.297403,0.0448,-0.1133,1.0786,1.09
0.308564,-0.1765,-0.0803,1.0339,1.05
0.319793,-0.121,-0.1035,1.0759,1.09
0.330819,0.0536,-0.1196,1.1094,1.12
0.341995,0.1184,-0.1915,1.0486,1.07
0.342121,0.1184,-0.1915,1.0486,1.07
0.353795,0.2549,-0.3471,0.7515,0.87
0.364188,0.2398,-0.2621,0.5224,0.63
0.37534,0.0734,0.0172,0.3171,0.33
0.386423,-0.0236,0.0711,0.4701,0.48
0.397552,0.0522,0.0005,0.6958,0.7
0.408815,0.2244,-0.072,0.9257,0.96
0.4199,0.2852,-0.0537,1.0871,1.13
0.430932,0.2923,-0.0231,1.1057,1.14
0.442161,0.3087,0.0079,1.0469,1.09
0.442278,0.3087,0.0079,1.0469,1.09
0.453197,0.3277,0.0321,1.0117,1.06
0.46434,0.3526,0.0519,1.0461,1.11
0.476115,0.4137,0.0641,1.1829,1.25
0.486563,0.3942,0.0487,1.2442,1.31
0.497701,0.3355,0.0142,1.3014,1.34
0.508893,0.3023,0.011,1.361,1.39
0.520046,0.3888,0.1154,1.3967,1.45
0.531106,0.3922,0.1452,1.3295,1.39
0.542328,0.4372,0.1825,1.2423,1.33
0.553336,0.475,0.1752,1.2494,1.35
0.553467,0.475,0.1752,1.2494,1.35
0.564485,0.4367,0.141,1.2687,1.35
0.575622,0.5061,0.1899,1.2555,1.37
0.586733,0.5754,0.129,1.3195,1.45
0.597892,0.6209,0.0748,1.1788,1.33
0.609036,0.5774,0.1554,1.145,1.29
0.620805,0.3346,0.1943,1.1644,1.23
