ID,time,gFx,gFy,gFz,TgF
0,0.00179,-0.3123,0.3785,0.579,0.76
1,0.00196,-0.3123,0.3785,0.579,0.76
2,0.00996,-0.2654,0.3756,0.6433,0.79
3,0.01997,-0.2021,0.3611,0.7366,0.84
4,0.03039,-0.132,0.3509,0.7935,0.88
5,0.04153,-0.1201,0.3062,0.814,0.88
6,0.05289,-0.1597,0.3057,0.8214,0.89
7,0.0639,-0.2234,0.3022,0.826,0.91
8,0.07562,-0.2657,0.2935,0.8099,0.9
9,0.08619,-0.2701,0.2673,0.8016,0.89
10,0.09719,-0.2733,0.2431,0.8143,0.89
11,0.1084,-0.2833,0.2204,0.8433,0.92
12,0.11998,-0.2842,0.2121,0.8333,0.91
13,0.12014,-0.2842,0.2121,0.8333,0.91
14,0.13063,-0.2825,0.208,0.8143,0.89
15,0.14172,-0.2725,0.1955,0.8099,0.88
16,0.15298,-0.2564,0.1684,0.8214,0.88
17,0.16394,-0.2366,0.132,0.8636,0.91
18,0.17506,-0.1767,0.0775,0.9113,0.93
19,0.18625,-0.1396,0.0106,0.9692,0.98
20,0.19732,-0.125,-0.0371,0.9936,1.0
21,0.20918,-0.1763,-0.0136,1.1079,1.12
22,0.21972,-0.229,-0.009,1.1143,1.14
23,0.23078,-0.211,-0.0229,1.1353,1.15
24,0.23097,-0.1985,-0.0288,1.1448,1.16
25,0.24185,-0.2168,0.0367,1.3276,1.35
26,0.2531,-0.1245,0.0418,1.2039,1.21
27,0.26409,-0.0192,-0.0881,1.1267,1.13
28,0.27527,0.1804,-0.0835,1.2162,1.23
29,0.2864,0.2178,-0.0603,1.1793,1.2
30,0.2974,0.0448,-0.1133,1.0786,1.09
31,0.30856,-0.1765,-0.0803,1.0339,1.05
32,0.31979,-0.121,-0.1035,1.0759,1.09
33,0.33082,0.0536,-0.1196,1.1094,1.12
34,0.342,0.1184,-0.1915,1.0486,1.07
35,0.34212,0.1184,-0.1915,1.0486,1.07
36,0.3538,0.2549,-0.3471,0.7515,0.87
37,0.36419,0.2398,-0.2621,0.5224,0.63
38,0.37534,0.0734,0.0172,0.3171,0.33
39,0.38642,-0.0236,0.0711,0.4701,0.48
40,0.39755,0.0522,0.0005,0.6958,0.7
41,0.40882,0.2244,-0.072,0.9257,0.96
42,0.4199,0.2852,-0.0537,1.0871,1.13
43,0.43093,0.2923,-0.0231,1.1057,1.14
44,0.44216,0.3087,0.0079,1.0469,1.09
45,0.44228,0.3087,0.0079,1.0469,1.09
46,0.4532,0.3277,0.0321,1.0117,1.06
47,0.46434,0.3526,0.0519,1.0461,1.11
48,0.47612,0.4137,0.0641,1.1829,1.25
49,0.48656,0.3942,0.0487,1.2442,1.31
50,0.4977,0.3355,0.0142,1.3014,1.34
51,0.50889,0.3023,0.011,1.361,1.39
52,0.52005,0.3888,0.1154,1.3967,1.45
53,0.53111,0.3922,0.1452,1.3295,1.39
54,0.54233,0.4372,0.1825,1.2423,1.33
55,0.55334,0.475,0.1752,1.2494,1.35
56,0.55347,0.475,0.1752,1.2494,1.35
57,0.56448,0.4367,0.141,1.2687,1.35
58,0.57562,0.5061,0.1899,1.2555,1.37
59,0.58673,0.5754,0.129,1.3195,1.45
60,0.59789,0.6209,0.0748,1.1788,1.33
61,0.60904,0.5774,0.1554,1.145,1.29
62,0.62081,0.3346,0.1943,1.1644,1.23
63,0.63128,0.0646,0.1781,1.2049,1.22
64,0.64571,-0.1347,0.1713,1.4287,1.45
65,0.64631,-0.1345,0.1674,1.446,1.46
66,0.65547,-0.1052,0.1354,1.4387,1.45
67,0.66661,0.0089,0.0792,1.3178,1.32
68,0.67818,0.057,-0.0183,1.1079,1.11
69,0.6904,0.1721,0.1246,1.0569,1.08
70,0.70222,0.2273,0.1598,1.0974,1.13
71,0.71201,0.285,0.1474,1.1771,1.22
72,0.72244,0.2955,0.1615,1.3031,1.35
73,0.7353,0.2337,0.194,1.4213,1.45
74,0.74559,0.211,0.2085,1.3432,1.38
75,0.75608,0.1988,0.2077,1.1942,1.23
76,0.76979,0.1789,0.2588,0.9462,1.0
77,0.77042,0.185,0.2715,0.9159,0.97
78,0.77929,0.2007,0.2893,0.8632,0.93
79,0.78957,0.2,0.2888,0.8771,0.94
80,0.80165,0.2178,0.3225,0.9071,0.99
81,0.81234,0.2632,0.3501,0.9225,1.02
82,0.82366,0.3182,0.3682,0.8715,1.0
83,0.83455,0.3052,0.3966,0.8033,0.95
84,0.84525,0.2974,0.3975,0.7332,0.89
85,0.8561,0.2154,0.3861,0.7273,0.85
86,0.86749,0.0536,0.4261,0.75,0.86
87,0.87828,-0.0216,0.444,0.7615,0.88
88,0.8897,0.0199,0.4317,0.7703,0.88
89,0.90526,0.1298,0.4733,0.817,0.95
90,0.90574,0.1298,0.4733,0.817,0.95
91,0.91535,0.2173,0.4835,0.8089,0.97
92,0.92668,0.2591,0.5236,0.6396,0.87
93,0.93759,0.2689,0.5549,0.4156,0.74
94,0.9482,0.2769,0.5805,0.3223,0.72
95,0.95788,0.2645,0.6176,0.2944,0.73
96,0.96784,0.1487,0.6479,0.3328,0.74
97,0.97963,-0.0605,0.6665,0.516,0.85
98,0.99107,-0.07,0.6347,0.6995,0.95
99,1.00478,-0.2615,0.6763,0.8856,1.14
100,1.02518,-0.1137,0.6225,0.5294,0.83
101,1.02611,-0.0922,0.6323,0.4786,0.8
102,1.03303,-0.0541,0.6795,0.3936,0.79
103,1.04477,-0.0602,0.7083,0.4278,0.83
104,1.05606,-0.0683,0.7391,0.4969,0.89
105,1.06709,-0.0658,0.741,0.5798,0.94
106,1.06802,-0.0566,0.7391,0.5932,0.95
107,1.07847,-0.0363,0.7449,0.6059,0.96
108,1.0886,-0.0409,0.7637,0.5597,0.95
109,1.10522,-0.0204,0.7899,0.4491,0.91
110,1.11666,0.017,0.8583,0.2143,0.88
111,1.12326,0.0209,0.8505,0.249,0.89
112,1.13561,-0.0724,0.8243,0.4039,0.92
113,1.1478,-0.177,0.8263,0.4969,0.98
114,1.15703,-0.1907,0.7857,0.5282,0.97
115,1.17016,-0.2031,0.8018,0.6711,1.07
116,1.17932,-0.1807,0.8101,0.742,1.11
117,1.18998,-0.1394,0.8138,0.7645,1.13
118,1.2017,-0.1281,0.8065,0.6653,1.05
119,1.21287,-0.1543,0.8094,0.5714,1.0
120,1.21365,-0.1577,0.8094,0.5497,0.99
121,1.22398,-0.1821,0.8053,0.4632,0.95
122,1.2388,-0.2652,0.8006,0.3611,0.92
123,1.25003,-0.2994,0.7769,0.3181,0.89
124,1.25644,-0.305,0.7742,0.3245,0.89
125,1.26819,-0.3287,0.7938,0.3745,0.94
126,1.27997,-0.3223,0.7911,0.4232,0.95
127,1.29023,-0.2764,0.7576,0.3938,0.9
128,1.30197,-0.2508,0.7036,0.3118,0.81
129,1.31367,-0.3079,0.679,0.2834,0.8
130,1.32595,-0.4176,0.6755,0.2979,0.85
131,1.3266,-0.433,0.6733,0.3054,0.86
132,1.34669,-0.5053,0.6438,0.4083,0.91
133,1.34767,-0.5031,0.6408,0.4251,0.92
134,1.35998,-0.4494,0.6333,0.5375,0.94
135,1.37201,-0.4225,0.6648,0.6509,1.02
136,1.38002,-0.4274,0.5803,0.6606,0.98
137,1.39008,-0.3243,0.6697,0.6157,0.97
138,1.40231,-0.3385,0.6426,0.6643,0.98
