ID,time,gFx,gFy,gFz,TgF,TS
0,0.001792,-0.3123,0.3785,0.579,0.76,2022-04-20 00:00:00.001792
1,0.001955,-0.3123,0.3785,0.579,0.76,2022-04-20 00:00:00.001955
2,0.009959,-0.2654,0.3756,0.6433,0.79,2022-04-20 00:00:00.009959
3,0.01997,-0.2021,0.3611,0.7366,0.84,2022-04-20 00:00:00.019970
4,0.030388,-0.132,0.3509,0.7935,0.88,2022-04-20 00:00:00.030388
5,0.041528,-0.1201,0.3062,0.814,0.88,2022-04-20 00:00:00.041528
6,0.052892,-0.1597,0.3057,0.8214,0.89,2022-04-20 00:00:00.052892
7,0.063902,-0.2234,0.3022,0.826,0.91,2022-04-20 00:00:00.063902
8,0.075618,-0.2657,0.2935,0.8099,0.9,2022-04-20 00:00:00.075618
9,0.086189,-0.2701,0.2673,0.8016,0.89,2022-04-20 00:00:00.086189
10,0.097187,-0.2733,0.2431,0.8143,0.89,2022-04-20 00:00:00.097187
11,0.108401,-0.2833,0.2204,0.8433,0.92,2022-04-20 00:00:00.108401
12,0.119979,-0.2842,0.2121,0.8333,0.91,2022-04-20 00:00:00.119979
13,0.120144,-0.2842,0.2121,0.8333,0.91,2022-04-20 00:00:00.120144
14,0.13063,-0.2825,0.208,0.8143,0.89,2022-04-20 00:00:00.130630
15,0.141723,-0.2725,0.1955,0.8099,0.88,2022-04-20 00:00:00.141723
16,0.152979,-0.2564,0.1684,0.8214,0.88,2022-04-20 00:00:00.152979
17,0.163937,-0.2366,0.132,0.8636,0.91,2022-04-20 00:00:00.163937
18,0.175056,-0.1767,0.0775,0.9113,0.93,2022-04-20 00:00:00.175056
19,0.186247,-0.1396,0.0106,0.9692,0.98,2022-04-20 00:00:00.186247
20,0.197322,-0.125,-0.0371,0.9936,1.0,2022-04-20 00:00:00.197322
21,0.209177,-0.1763,-0.0136,1.1079,1.12,2022-04-20 00:00:00.209177
22,0.219715,-0.229,-0.009,1.1143,1.14,2022-04-20 00:00:00.219715
23,0.230779,-0.211,-0.0229,1.1353,1.15,2022-04-20 00:00:00.230779
24,0.230968,-0.1985,-0.0288,1.1448,1.16,2022-04-20 00:00:00.230968
25,0.241853,-0.2168,0.0367,1.3276,1.35,2022-04-20 00:00:00.241853
26,0.2531,-0.1245,0.0418,1.2039,1.21,2022-04-20 00:00:00.253100
27,0.264093,-0.0192,-0.0881,1.1267,1.13,2022-04-20 00:00:00.264093
28,0.275269,0.1804,-0.0835,1.2162,1.23,2022-04-20 00:00:00.275269
29,0.286398,0.2178,-0.0603,1.1793,1.2,2022-04-20 00:00:00.286398
